driver_id,total_trips,total_earnings_usd,avg_trip_fare_usd,avg_tip_usd,avg_tip_rate,tip_take_rate,global_avg_tip_usd
D024115,2,0.0,70.86,2.7199999999999998,0.035697504220705056,1.0,2.2615550567973792
D048857,2,47.21,48.195,2.91,0.06003160581686233,1.0,2.2615550567973792
D040147,6,348.88000000000005,58.146666666666675,1.2750000000000004,0.0200808436068676,1.0,2.2615550567973792
D017096,1,28.4,28.4,3.38,0.11901408450704226,1.0,2.2615550567973792
D017683,2,136.5,68.25,1.69,0.024761904761904763,1.0,2.2615550567973792
D015489,3,102.58000000000001,34.193333333333335,1.29,0.04464459728197274,1.0,2.2615550567973792
D048438,2,0.0,38.315,1.045,0.027424388720462267,1.0,2.2615550567973792
D028920,2,0.0,75.295,2.83,0.036656246466940726,1.0,2.2615550567973792
D001456,1,0.0,91.32,3.95,0.043254489706526504,1.0,2.2615550567973792
D009260,6,266.1,64.08833333333332,1.9716666666666665,0.04796856435845662,1.0,2.2615550567973792
D034781,1,0.0,73.93,4.78,0.06465575544433924,1.0,2.2615550567973792
D019116,4,68.14,32.5675,1.5724999999999998,0.055591162600416424,1.0,2.2615550567973792
D001834,6,286.16,47.693333333333335,2.3833333333333333,0.04731661293208827,1.0,2.2615550567973792
D001381,1,0.0,59.62,2.86,0.04797047970479705,1.0,2.2615550567973792
D016268,3,91.98,44.6,1.78,0.04127693324053459,1.0,2.2615550567973792
D026958,2,55.23,35.545,1.095,0.0461193577973482,1.0,2.2615550567973792
D032158,4,91.06,34.9275,1.1724999999999999,0.03785141615993771,1.0,2.2615550567973792
D038841,1,0.0,70.03,0.08,0.001142367556761388,1.0,2.2615550567973792
D033210,2,0.0,44.93,2.475,0.07968127665574001,1.0,2.2615550567973792
D008326,2,43.13,43.13,3.09,0.07164386737769533,1.0,2.2615550567973792
D042832,3,93.1,31.03333333333333,1.2433333333333334,0.030786538996070447,1.0,2.2615550567973792
D020997,4,78.45,55.14000000000001,2.2675,0.05437201953978135,1.0,2.2615550567973792
D002389,1,0.0,66.03,0.98,0.014841738603665,1.0,2.2615550567973792
D016796,2,0.0,49.355,3.4699999999999998,0.09330132409788179,1.0,2.2615550567973792
D042281,2,0.0,58.525000000000006,3.89,0.07552340570441846,1.0,2.2615550567973792
D047559,1,0.0,20.6,2.29,0.11116504854368932,1.0,2.2615550567973792
D028835,1,0.0,41.67,0.26,0.006239500839932805,1.0,2.2615550567973792
D039276,1,0.0,59.27,3.66,0.061751307575501936,1.0,2.2615550567973792
D019927,2,0.0,71.47999999999999,3.71,0.051835675171214866,1.0,2.2615550567973792
D020818,3,120.0,49.36666666666667,2.3366666666666664,0.041151838671411624,1.0,2.2615550567973792
D030608,1,0.0,68.49,1.03,0.015038691779821874,1.0,2.2615550567973792
D016553,1,43.36,43.36,3.18,0.07333948339483395,1.0,2.2615550567973792
D031380,2,50.24,25.12,2.02,0.0804140127388535,1.0,2.2615550567973792
D010563,3,80.48,30.313333333333333,2.323333333333333,0.1225923616997822,1.0,2.2615550567973792
D008558,5,158.6,44.858000000000004,1.7440000000000002,0.04150544697984362,1.0,2.2615550567973792
D049426,3,73.77,67.05333333333333,2.936666666666667,0.04391759215358737,1.0,2.2615550567973792
D045617,1,53.61,53.61,2.18,0.04066405521357956,1.0,2.2615550567973792
D033752,2,37.63,50.260000000000005,4.49,0.09626436484120116,1.0,2.2615550567973792
D040643,3,0.0,35.54333333333333,3.1966666666666668,0.09095635365688086,1.0,2.2615550567973792
D048319,2,138.26,69.13,3.31,0.04788080428178794,1.0,2.2615550567973792
D000240,1,0.0,109.49,1.63,0.014887204310895972,1.0,2.2615550567973792
D008955,2,51.3,50.989999999999995,2.365,0.04636964572265532,1.0,2.2615550567973792
D029977,3,34.69,56.30666666666667,1.1066666666666667,0.01746917118337836,1.0,2.2615550567973792
D015060,1,45.02,45.02,1.13,0.025099955575299863,1.0,2.2615550567973792
D034212,2,155.5,77.75,1.855,0.02206200423997936,1.0,2.2615550567973792
